PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Address
16699,3,"Nancarrow, Mr. William Henry",male,33.0,0,0,A./5. 3338,8.05,"",S,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom
6359,1,"Willard, Miss. Constance",female,21.0,0,0,113795,26.55,"",S,8 10 Rue F licien David 16th arr 75016 Paris France
1126,1,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C85,C,10918 S Grant Ave
1078,2,"Phillips, Miss. Alice Frances Louisa",female,21.0,0,1,S.O./P.P. 2,21.0,"",S,6422 Baltimore National Pike
2498,3,"Samaan, Mr. Hanna",male,"",2,0,2662,21.6792,"",C,George Street Westminster Borough London W1H 5BJ United Kingdom
14375,2,"Gilbert, Mr. William",male,47.0,0,0,C.A. 30769,10.5,"",S,1101 N 3rd St
9052,1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,C22 C26,S,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom
11691,1,"Rosenshine, Mr. George (Mr George Thorne)",male,46.0,0,0,PC 17585,79.2,"",C,52 Rue Oradour sur Glane 15th arr 75015 Paris France
9011,3,"Lyntakoff, Mr. Stanko",male,"",0,0,349235,7.8958,"",S,40 avenue de Friedland 8th arr 75008 Paris France
19417,3,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",female,"",0,0,65305,8.1125,"",S,1 Bis Rue De Vaugirard 6th arr 75006 Paris France
15511,2,"Duran y More, Miss. Florentina",female,30.0,1,0,SC/PARIS 2148,13.8583,"",C,Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria
18152,3,"Hyman, Mr. Abraham",male,"",0,0,3470,7.8875,"",S,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom
19519,2,"Malachard, Mr. Noel",male,"",0,0,237735,15.0458,D,C,132 Boulevard Haussmann 8th arr 75008 Paris France
7452,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24.0,1,0,SC/PARIS 2167,27.7208,"",C,257 Rue De Vaugirard 15th arr 75015 Paris France
16633,3,"Johnston, Mrs. Andrew G (Elizabeth Lily Watson)",female,"",1,2,W./C. 6607,23.45,"",S,4 Rue de L Isly 8th arr 75008 Paris France
20944,3,"Peter, Master. Michael J",male,"",1,1,2668,22.3583,"",C,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom
14056,1,"Geiger, Miss. Amalie",female,35.0,0,0,113503,211.5,C130,C,2 rue Geoffroy Marie 9th arr 75009 Paris France
6151,1,"Williams, Mr. Richard Norris II",male,21.0,0,1,PC 17597,61.3792,"",C,Via Murat 21 Niguarda 20159 Milan Italy
2469,3,"Howard, Miss. May Elizabeth",female,"",0,0,A. 2. 39186,8.05,"",S,Avenida Rius y Taulet 1 3 Sants Montju c 08004 Barcelona Spain
20753,3,"Asplund, Mr. Johan Charles",male,23.0,0,0,350054,7.7958,"",S,301 W San Juan Ave
6182,2,"Mangiavacchi, Mr. Serafino Emilio",male,"",0,0,SC/A.3 2861,15.5792,"",C,2091 Eatonton Rd
7574,2,"Schmidt, Mr. August",male,26.0,0,0,248659,13.0,"",S,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands
19376,1,"Borebank, Mr. John James",male,42.0,0,0,110489,26.55,D22,S,710 Park Pl
12857,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,1,1,PC 17558,247.5208,B58 B60,C,Balmes 103 105 Eixample 08008 Barcelona Spain
20901,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,1,1,33638,81.8583,A34,S,11 rue de Tr vise 9th arr 75009 Paris France
10094,3,"Hee, Mr. Ling",male,"",0,0,1601,56.4958,"",S,Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria
19398,2,"McCrie, Mr. James Matthew",male,30.0,0,0,233478,13.0,"",S,6 Holywell Lane Hackney London EC2A 3ET United Kingdom
12696,1,"Williams, Mr. Richard Norris II",male,21.0,0,1,PC 17597,61.3792,"",C,123 boulevard S bastopol 2nd arr 75002 Paris France
11473,2,"Swane, Mr. George",male,18.5,0,0,248734,13.0,F,S,2316 Shepherd
4937,1,"Beattie, Mr. Thomson",male,36.0,0,0,13050,75.2417,C6,C,28 place des Vosges 3rd arr 75003 Paris France
10228,3,"Torfa, Mr. Assad",male,"",0,0,2673,7.2292,"",C,1114 Blair St
1238,2,"Botsford, Mr. William Hull",male,26.0,0,0,237670,13.0,"",S,33 rue Marbeuf 8th arr 75008 Paris France
14038,3,"Cor, Mr. Bartol",male,35.0,0,0,349230,7.8958,"",S,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom
10363,1,"Hays, Mr. Charles Melville",male,55.0,1,1,12749,93.5,B69,S,Calvet 40 42 Sarri St Gervasi 08021 Barcelona Spain
16840,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0,0,112377,27.7208,"",C,368 370 Green Lanes London N4 1DA United Kingdom
19365,3,"Davies, Mr. Evan",male,22.0,0,0,SC/A4 23568,8.05,"",S,15 Rue De La Grande Chaumi re 6th arr 75006 Paris France
20858,1,"Dulles, Mr. William Crothers",male,39.0,0,0,PC 17580,29.7,A18,C,111 N Post Oak Ln
11450,3,"Barry, Miss. Julia",female,27.0,0,0,330844,7.8792,"",Q,Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria
11661,3,"Samaan, Mr. Hanna",male,"",2,0,2662,21.6792,"",C,75 Pond Rd
10140,3,"Khalil, Mr. Betros",male,"",1,0,2660,14.4542,"",C,Paseo De Garay 5
15577,3,"Franklin, Mr. Charles (Charles Fardon)",male,"",0,0,SOTON/O.Q. 3101314,7.25,"",S,2008 S Hawthorne Rd
5046,3,"McNeill, Miss. Bridget",female,"",0,0,370368,7.75,"",Q,1704 Toll Gate Dr
18202,1,"Dodge, Dr. Washington",male,53.0,1,1,33638,81.8583,A34,S,545 Humboldt Ave
19339,3,"Kiernan, Mr. John",male,"",1,0,367227,7.75,"",Q,1 Norris Dr
16971,1,"Wilson, Miss. Helen Alice",female,31.0,0,0,16966,134.5,E39 E41,C,23702 Rockfield Blvd
14012,2,"Louch, Mr. Charles Alexander",male,50.0,1,0,SC/AH 3085,26.0,"",S,2 4 Boundary Street Hackney London E2 7DD United Kingdom
3542,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33.0,1,2,C.A. 2315,20.575,"",S,9 Villa de Saxe 7th arr 75007 Paris France
8793,3,"Shaughnessy, Mr. Patrick",male,"",0,0,370374,7.75,"",Q,105 Manchester Ave
10235,2,"McCrie, Mr. James Matthew",male,30.0,0,0,233478,13.0,"",S,35 Rue Jean Goujon 8th arr 75008 Paris France
13994,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23.0,1,0,21228,82.2667,B45,S,18828 State Highway 249
11380,2,"Keane, Mr. Daniel",male,35.0,0,0,233734,12.35,"",Q,788 Springfield Rd
7851,1,"Oliva y Ocana, Dona. Fermina",female,39.0,0,0,PC 17758,108.9,C105,C,138 Keith Dr
15463,3,"Dyker, Mr. Adolf Fredrik",male,23.0,1,0,347072,13.9,"",S,257 Rue De Vaugirard 15th arr 75015 Paris France
1263,1,"Wilson, Miss. Helen Alice",female,31.0,0,0,16966,134.5,E39 E41,C,Hobbemakade 50 Oud Zuid 1071 XL Amsterdam Netherlands
6250,1,"Schabert, Mrs. Paul (Emma Mock)",female,35.0,1,0,13236,57.75,C28,C,40 Curtis Liles Ct
11446,1,"Case, Mr. Howard Brown",male,49.0,0,0,19924,26.0,"",S,1161 W Washington Center Rd
15529,2,"Hiltunen, Miss. Marta",female,18.0,1,1,250650,13.0,"",S,Via Cesare Correnti 13 Milan City Center 20123 Milan Italy
16733,3,"Thomas, Mr. Charles P",male,"",1,0,2621,6.4375,"",C,36 Great st Helens City of London London EC3A 6AP United Kingdom
15410,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1,0,SC/AH 29037,26.0,"",S,Via Messina 10 Sempione 20154 Milan Italy
2366,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female,26.0,1,1,315153,22.025,"",S,25 Boulevard Auguste Blanqui 13th arr 75013 Paris France
