PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Address
1084,3,"van Billiard, Master. Walter John",male,11.5,1,1,A/5. 851,14.5,"",S,2707 Veterans Ave
20937,3,"Naughton, Miss. Hannah",female,"",0,0,365237,7.75,"",Q,8 Rue Jean Goujon 8th arr 75008 Paris France
15569,2,"Ware, Mr. John James",male,30.0,1,0,CA 31352,21.0,"",S,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom
11369,3,"Svensson, Mr. Johan Cervin",male,14.0,0,0,7538,9.225,"",S,Passeig de Gracia 68 Eixample 08007 Barcelona Spain
19443,3,"Moubarek, Mrs. George (Omine Amenia Alexander)",female,"",0,2,2661,15.2458,"",C,Paseo de Gracia 46 Eixample 08007 Barcelona Spain
7832,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,18.0,1,0,13695,60.0,C31,S,Albert Cuypstraat 2 6 Oud Zuid 1072 CT Amsterdam Netherlands
3549,3,"Hee, Mr. Ling",male,"",0,0,1601,56.4958,"",S,115 E James St
8933,3,"Davies, Mr. Joseph",male,17.0,2,0,A/4 48873,8.05,"",S,14 Silver Run Ln
14221,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1,0,PC 17761,106.425,C86,C,6 Rue Pierre Demours 17th arr 75017 Paris France
5150,1,"Dulles, Mr. William Crothers",male,39.0,0,0,PC 17580,29.7,A18,C,202 220 Cromwell Road Kensington and Chelsea London SW5 0SW United Kingdom
18092,3,"Lane, Mr. Patrick",male,"",0,0,7935,7.75,"",Q,5 bis rue Massenet 16th arr 75016 Paris France
20796,3,"Pokrnic, Mr. Mate",male,17.0,0,0,315095,8.6625,"",S,2075 N Us State Nighway 360
2525,1,"Kreuchen, Miss. Emilie",female,39.0,0,0,24160,211.3375,"",S,505 1st Ave N
6294,1,"Brandeis, Mr. Emil",male,48.0,0,0,PC 17591,50.4958,B10,C,4965 S Sunland Gin Rd
14236,3,"Wenzel, Mr. Linhart",male,32.5,0,0,345775,9.5,"",S,Wiedner Hauptstr 27 29 04 Wieden 1040 Vienna Austria
20813,3,"Franklin, Mr. Charles (Charles Fardon)",male,"",0,0,SOTON/O.Q. 3101314,7.25,"",S,626 Chiswick High St Chiswick London W4 5RY United Kingdom
10369,1,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,0,0,PC 17760,135.6333,C32,C,40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France
8948,1,"Astor, Col. John Jacob",male,47.0,1,0,PC 17757,227.525,C62 C64,C,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands
2511,3,"Cacic, Mr. Jego Grga",male,18.0,0,0,315091,8.6625,"",S,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom
953,2,"McCrae, Mr. Arthur Gordon",male,32.0,0,0,237216,13.5,"",S,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom
14197,1,"Head, Mr. Christopher",male,42.0,0,0,113038,42.5,B11,S,10 Pepys Street City of London London EC3N 2NR United Kingdom
8808,3,"Bjorklund, Mr. Ernst Herbert",male,18.0,0,0,347090,7.75,"",S,Via Manzoni 31 Milan City Center 20121 Milan Italy
4992,3,"Torfa, Mr. Assad",male,"",0,0,2673,7.2292,"",C,741 E Washington St
14010,1,"Brady, Mr. John Bertram",male,41.0,0,0,113054,30.5,A21,S,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom
10091,3,"Roth, Miss. Sarah A",female,"",0,0,342712,8.05,"",S,Carretera De Jandia Km 11
20938,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,C78,Q,Viale Lombardia 74 76 Citt Studi 20131 Milan Italy
20911,2,"Wheeler, Mr. Edwin Frederick",male,"",0,0,SC/PARIS 2159,12.875,"",S,44 Rue Madame 6th arr 75006 Paris France
1130,2,"Hiltunen, Miss. Marta",female,18.0,1,1,250650,13.0,"",S,1655 Centennial Dr
4964,3,"Vander Planke, Mr. Julius",male,31.0,3,0,345763,18.0,"",S,22 Avenue du professeur lemierre 20th arr 75020 Paris France
11387,1,"Williams, Mr. Richard Norris II",male,21.0,0,1,PC 17597,61.3792,"",C,171 Pine River Rd
937,3,"Peltomaki, Mr. Nikolai Johannes",male,25.0,0,0,STON/O 2. 3101291,7.925,"",S,181 Tooley Street Southwark London SE1 2JR United Kingdom
19390,3,"Dyker, Mr. Adolf Fredrik",male,23.0,1,0,347072,13.9,"",S,2087 Hotel Cir S
15647,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,11769,51.4792,C101,S,9 Rue de Washington 8th arr 75008 Paris France
10463,3,"Riordan, Miss. Johanna Hannah",female,"",0,0,334915,7.7208,"",Q,Pla a Urquinaona 2 Eixample 08010 Barcelona Spain
7512,1,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,55 57 Avenue Raymond Poincare 16th arr 75016 Paris France
3564,2,"Mangiavacchi, Mr. Serafino Emilio",male,"",0,0,SC/A.3 2861,15.5792,"",C,420 East Pike
