PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Address
11726,2,"Ware, Mrs. John James (Florence Louise Long)",female,31.0,0,0,CA 31352,21.0,"",S,101 Ohio St
14245,3,"Klasen, Miss. Gertrud Emilia",female,1.0,1,1,350405,12.1833,"",S,100 Alexander Spring Rd
15313,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,"",0,0,PC 17598,31.6833,"",S,1400 Roebuck Dr
6350,2,"Cook, Mrs. (Selena Rogers)",female,22.0,0,0,W./C. 14266,10.5,F33,S,Espronceda 6 Sant Mart 08005 Barcelona Spain
19388,3,"Lithman, Mr. Simon",male,"",0,0,S.O./P.P. 251,7.55,"",S,855 Pasquinelli Dr
20791,2,"Portaluppi, Mr. Emilio Ilario Giuseppe",male,30.0,0,0,C.A. 34644,12.7375,"",C,2900 S Casino Dr
7507,3,"Mulvihill, Miss. Bertha E",female,24.0,0,0,382653,7.75,"",Q,14001 Walden Rd
1255,3,"Strilic, Mr. Ivan",male,27.0,0,0,315083,8.6625,"",S,2 Rue Edouard VII 9th arr 75009 Paris France
18151,1,"Spedden, Mr. Frederic Oakley",male,45.0,1,1,16966,134.5,E34,C,18980 Upper Belmont Pl
7796,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",female,30.0,1,0,349910,15.55,"",S,2120 Claude Bailey Pkwy
12852,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0,2,PC 17756,83.1583,E45,C,741 E Washington St
20860,3,"Nakid, Mrs. Said (Waika Mary Mowad)",female,19.0,1,1,2653,15.7417,"",C,22 28 Broadway Westminster Borough London SW1H 0BH United Kingdom
16740,3,"Goodwin, Miss. Jessie Allis",female,10.0,5,2,CA 2144,46.9,"",S,400 S Main St
6478,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0,1,PC 17759,63.3583,D10 D12,C,Via Santa Marta 4 Milan City Center 20123 Milan Italy
11403,3,"Hee, Mr. Ling",male,"",0,0,1601,56.4958,"",S,Avenida Diagonal 555 Les Corts 08029 Barcelona Spain
945,1,"Fortune, Miss. Ethel Flora",female,28.0,3,2,19950,263.0,C23 C25 C27,S,6560 Loisdale Ct
18188,2,"Oxenham, Mr. Percy Thomas",male,22.0,0,0,W./C. 14260,10.5,"",S,86 Quai D Austerlitz 13th arr 75013 Paris France
20761,1,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C85,C,Via Andegari 9 Milan City Center 20121 Milan Italy
6142,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1,0,W.E.P. 5734,61.175,E31,S,Sch nbrunner Schlossstra e 38 40 12 Meidling 1120 Vienna Austria
11560,1,"Spedden, Master. Robert Douglas",male,6.0,0,2,16966,134.5,E34,C,64 76 Hendon Way London NW2 2NL United Kingdom
1285,2,"Gilbert, Mr. William",male,47.0,0,0,C.A. 30769,10.5,"",S,129 Bayswater Road London W2 4RJ United Kingdom
11475,3,"Shine, Miss. Ellen Natalia",female,"",0,0,330968,7.7792,"",Q,611 State Route 20
10055,3,"Kelly, Mr. James",male,34.5,0,0,330911,7.8292,"",Q,6505 Metal Dr
15679,3,"Canavan, Mr. Patrick",male,21.0,0,0,364858,7.75,"",Q,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom
19518,3,"Olsson, Mr. Oscar Wilhelm",male,32.0,0,0,347079,7.775,"",S,1407 E Rusk St
13078,2,"Nourney, Mr. Alfred (Baron von Drachstedt)",male,20.0,0,0,SC/PARIS 2166,13.8625,D38,C,218 rue de Rivoli 1st arr 75001 Paris France
7533,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1,0,19877,78.85,C46,S,1145 Hammond Dr N E
3695,2,"Maybery, Mr. Frank Hubert",male,40.0,0,0,239059,16.0,"",S,Via La Spezia 25 Famagosta 20142 Milan Italy
12805,3,"Lefebre, Mrs. Frank (Frances)",female,"",0,4,4133,25.4667,"",S,120 S Ridge St
967,1,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,Via A de Tocqueville 7 D Garibaldi Station 20154 Milan Italy
10074,3,"Assaf Khalil, Mrs. Mariana (Miriam)",female,45.0,0,0,2696,7.225,"",C,8 Rue Cambon 1st arr 75001 Paris France
3574,1,"Ryerson, Master. John Borie",male,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Vilana 7 Sarri St Gervasi 08017 Barcelona Spain
5081,2,"Wells, Mrs. Arthur Henry (Addie Dart Trevaskis)",female,29.0,0,2,29103,23.0,"",S,11586 Gillette Prairie Rd
6238,2,"Stanton, Mr. Samuel Ward",male,41.0,0,0,237734,15.0458,"",C,302 S Main St
6263,3,"Carlsson, Mr. Carl Robert",male,24.0,0,0,350409,7.8542,"",S,175 N W Gilbert Way
7556,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1,0,SC/AH 29037,26.0,"",S,1 5 Passage Ruelle 18th arr 75018 Paris France
6266,3,"Drapkin, Miss. Jennie",female,23.0,0,0,SOTON/OQ 392083,8.05,"",S,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom
17924,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24.0,1,0,SC/PARIS 2167,27.7208,"",C,2120 Claude Bailey Pkwy
11690,2,"Becker, Miss. Ruth Elizabeth",female,12.0,2,1,230136,39.0,F4,S,Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands
18296,2,"Ashby, Mr. John",male,57.0,0,0,244346,13.0,"",S,Mommsengasse 5 04 Wieden 1040 Vienna Austria
1029,2,"Schmidt, Mr. August",male,26.0,0,0,248659,13.0,"",S,2264 E Perry Rd
12824,3,"Matinoff, Mr. Nicola",male,"",0,0,349255,7.8958,"",C,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom
16836,1,"Warren, Mr. Frank Manley",male,64.0,1,0,110813,75.25,D37,C,Bond Street Mayfair Westminster Borough London W1S 2YF United Kingdom
19485,3,"Warren, Mr. Charles William",male,"",0,0,C.A. 49867,7.55,"",S,323 Reservation Rd
14070,3,"O'Donoghue, Ms. Bridget",female,"",0,0,364856,7.75,"",Q,18 30 Lexham Gardens Kensington and Chelsea London W8 5JE United Kingdom
8913,3,"Ford, Mr. Edward Watson",male,18.0,2,2,W./C. 6608,34.375,"",S,68 W Hwy Hwy 380
19584,3,"Caram, Mr. Joseph",male,"",1,0,2689,14.4583,"",C,Molenwerf 1 1014 AG Amsterdam Netherlands
5171,2,"Dibden, Mr. William",male,18.0,0,0,S.O.C. 14879,73.5,"",S,Balmes 117 Eixample 08008 Barcelona Spain
15332,1,"Franklin, Mr. Thomas Parham",male,"",0,0,113778,26.55,D34,S,635 N Euclid Ave
18010,2,"Weisz, Mr. Leopold",male,27.0,1,0,228414,26.0,"",S,Via Pirandello 81
2419,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,1,1,113503,211.5,C80,C,106 E North St
20721,2,"Drew, Master. Marshall Brines",male,8.0,0,2,28220,32.5,"",S,Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom
13013,2,"Fillbrook, Mr. Joseph Charles",male,18.0,0,0,C.A. 15185,10.5,"",S,Overhoeksplein 7 Amsterdam Noord 1031 KS Amsterdam Netherlands
996,3,"Thomas, Mrs. Alexander (Thamine Thelma)",female,16.0,1,1,2625,8.5167,"",C,225 6th St S E
8764,3,"Ilmakangas, Miss. Ida Livija",female,27.0,1,0,STON/O2. 3101270,7.925,"",S,Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands
2479,2,"Ware, Mr. John James",male,30.0,1,0,CA 31352,21.0,"",S,1535 Broadway
