PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Address
7447,3,"Ilieff, Mr. Ylio",male,"",0,0,349220,7.8958,"",S,316 N Main St
1118,3,"Asplund, Mr. Johan Charles",male,23.0,0,0,350054,7.7958,"",S,1657 Cambridge St
11381,3,"Assaf, Mr. Gerios",male,21.0,0,0,2692,7.225,"",C,6 rue Balzac 8th arr 75008 Paris France
3742,3,"Wiklund, Mr. Karl Johan",male,21.0,1,0,3101266,6.4958,"",S,625 W Rolling Meadows Dr
11417,1,"Fortune, Miss. Ethel Flora",female,28.0,3,2,19950,263.0,C23 C25 C27,S,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom
7473,3,"Roth, Miss. Sarah A",female,"",0,0,342712,8.05,"",S,6 Rue Saint Lambert 15th arr 75015 Paris France
3641,1,"Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C51,C,225 Ladbroke Grove Kensington and Chelsea London W10 6HQ United Kingdom
8819,1,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,27.7208,D43,C,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom
980,3,"O'Donoghue, Ms. Bridget",female,"",0,0,364856,7.75,"",Q,Roelof Hartstraat 1 Oud Zuid 1071 VE Amsterdam Netherlands
19529,3,"Vartanian, Mr. David",male,22.0,0,0,2658,7.225,"",C,Piccadilly Westminster Borough London W1J 7BX United Kingdom
19387,3,"Hellstrom, Miss. Hilda Maria",female,22.0,0,0,7548,8.9625,"",S,10 Pepys Street City of London London EC3N 2NR United Kingdom
16849,3,"Khalil, Mrs. Betros (Zahie Maria Elias)",female,"",1,0,2660,14.4542,"",C,2120 Claude Bailey Pkwy
10304,3,"Khalil, Mrs. Betros (Zahie Maria Elias)",female,"",1,0,2660,14.4542,"",C,30 Rue La P rouse 16th arr 75016 Paris France
5034,1,"Head, Mr. Christopher",male,42.0,0,0,113038,42.5,B11,S,155 S Seward St
3536,1,"Ostby, Miss. Helene Ragnhild",female,22.0,0,1,113509,61.9792,B36,C,9 Rue De Li ge 9th arr 75009 Paris France
18011,3,"Foley, Mr. William",male,"",0,0,365235,7.75,"",Q,7055 Minstrel Way
1054,2,"Wright, Miss. Marion",female,26.0,0,0,220844,13.5,"",S,Freytaggasse 25 27 21 Floridsdorf 1210 Vienna Austria
14086,3,"Thomas, Mrs. Alexander (Thamine Thelma)",female,16.0,1,1,2625,8.5167,"",C,8 Rue De Bellechasse 7th arr 75007 Paris France
4985,1,"Brandeis, Mr. Emil",male,48.0,0,0,PC 17591,50.4958,B10,C,185 James Asbury Dr N W
1175,3,"Touma, Miss. Maria Youssef",female,9.0,1,1,2650,15.2458,"",C,Via Felice Casati 18 Central Station 20124 Milan Italy
2305,3,"Thomas, Mrs. Alexander (Thamine Thelma)",female,16.0,1,1,2625,8.5167,"",C,Burggasse 2 07 Neubau 1070 Vienna Austria
2550,2,"Walcroft, Miss. Nellie",female,31.0,0,0,F.C.C. 13528,21.0,"",S,1312 Beaverton Valley Rd
10218,3,"Pearce, Mr. Ernest",male,"",0,0,343271,7.0,"",S,32 Rue Greuze 16th arr 75016 Paris France
11630,1,"Chisholm, Mr. Roderick Robert Crispin",male,"",0,0,112051,0.0,"",S,165 rue de Rome 17th arr 75017 Paris France
4970,3,"Matinoff, Mr. Nicola",male,"",0,0,349255,7.8958,"",C,595 Vail Valley Dr
2537,2,"de Brito, Mr. Jose Joaquim",male,32.0,0,0,244360,13.0,"",S,29 31 Gower Street Camden London WC1E 6HG United Kingdom
16686,3,"Barry, Miss. Julia",female,27.0,0,0,330844,7.8792,"",Q,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom
7567,3,"Spinner, Mr. Henry John",male,32.0,0,0,STON/OQ. 369943,8.05,"",S,Rambla de Catalunya 76 Eixample 08008 Barcelona Spain
2265,1,"Ryerson, Master. John Borie",male,13.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom
4949,3,"Spinner, Mr. Henry John",male,32.0,0,0,STON/OQ. 369943,8.05,"",S,C rsega 289 Eixample 08008 Barcelona Spain
11539,2,"Brown, Miss. Edith Eileen",female,15.0,0,2,29750,39.0,"",S,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom
10252,3,"Nilsson, Miss. Berta Olivia",female,18.0,0,0,347066,7.775,"",S,2303 Main Street Us Rt 4
1038,1,"Hilliard, Mr. Herbert Henry",male,"",0,0,17463,51.8625,E46,S,1235 N Warm Springs Rd
11600,1,"Warren, Mr. Frank Manley",male,64.0,1,0,110813,75.25,D37,C,Comte Borrell 208 Eixample 08029 Barcelona Spain
13001,2,"Clarke, Mr. Charles Valentine",male,29.0,1,0,2003,26.0,"",S,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands
20705,2,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,0,3,230136,39.0,F4,S,Johnsallee 63 67
1253,2,"Mallet, Mrs. Albert (Antoinette Magnin)",female,24.0,1,1,S.C./PARIS 2079,37.0042,"",C,16 22 Great Russell Street Camden London WC1B 3NN United Kingdom
19596,1,"Hipkins, Mr. William Edward",male,55.0,0,0,680,50.0,C39,S,1 Place De La Sorbonne 5th arr 75005 Paris France
12826,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female,36.0,0,2,350405,12.1833,"",S,32161 Kit Carson Rd
10282,3,"McNeill, Miss. Bridget",female,"",0,0,370368,7.75,"",Q,611 State Route 20
14203,3,"Reynolds, Mr. Harold J",male,21.0,0,0,342684,8.05,"",S,Albany Street London NW1 3UP United Kingdom
11478,1,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,1,0,PC 17483,221.7792,C55 C57,S,2091 Eatonton Rd
7705,3,"Howard, Miss. May Elizabeth",female,"",0,0,A. 2. 39186,8.05,"",S,Hoogoorddreef 1 Zuidoost 1101 BA Amsterdam Netherlands
14170,3,"Sage, Miss. Ada",female,"",8,2,CA. 2343,69.55,"",S,Calabria 90 92 Eixample 08015 Barcelona Spain
11732,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,0,1,112378,59.4,"",C,56 Madera Blvd
10396,3,"Lundstrom, Mr. Thure Edvin",male,32.0,0,0,350403,7.5792,"",S,Albert Cuypstraat 2 6 Oud Zuid 1072 CT Amsterdam Netherlands
18234,3,"Assam, Mr. Ali",male,23.0,0,0,SOTON/O.Q. 3101309,7.05,"",S,21 Avenue De La Grande Arm e 16th arr 75016 Paris France
3541,2,"Jefferys, Mr. Clifford Thomas",male,24.0,2,0,C.A. 31029,31.5,"",S,Kirchengasse 41 07 Neubau 1070 Vienna Austria
14321,3,"Betros, Master. Seman",male,"",0,0,2622,7.2292,"",C,128 avenue de Wagram 17th arr 75017 Paris France
